"R0","r","K","I0","trough_index","x_in","q_lineage","Q_burnout","P_persistence","cumulative_persistence","burnout_at_this_trough","m_raw","m_used","entry_status","integration_converged","troughs_found","termination_status"
1.05,0.01,10000,1,1,0.930205388576283,0.993647876196089,0.968640320829984,0.0313596791700158,0.0313596791700158,0.968640320829984,4.53514739229025,5,"success",TRUE,5,"requested_troughs_found"
1.05,0.01,10000,1,2,0.947192098431704,0.987321959955471,0.938196877862535,0.0618031221374651,0.00193812608193621,0.0294215530880796,4.53514739229025,5,"success",TRUE,5,"requested_troughs_found"
1.05,0.01,10000,1,3,0.95111898748051,0.985448459324327,0.929329181014487,0.070670818985513,0.000136968957507615,0.00180115712442859,4.53514739229025,5,"success",TRUE,5,"requested_troughs_found"
1.05,0.01,10000,1,4,0.952071925648398,0.98497110885443,0.927080528885794,0.0729194711142063,9.98770394051949e-06,0.000126981253567096,4.53514739229025,5,"success",TRUE,5,"requested_troughs_found"
1.05,0.01,10000,1,5,0.952305161795587,0.984852943840669,0.926524562314811,0.0734754376851888,7.33850918499753e-07,9.25385302201974e-06,4.53514739229025,5,"success",TRUE,5,"requested_troughs_found"
1.14875,0.01,10000,1,1,0.784130507766767,0.999167546174539,0.990881026759549,0.00911897324045109,0.00911897324045109,0.990881026759549,11.2721283601777,11,"success",TRUE,5,"requested_troughs_found"
1.14875,0.01,10000,1,2,0.833783783979025,0.991109556283354,0.906438409125004,0.0935615908749955,0.000853185643523118,0.00826578759692798,11.2721283601777,11,"success",TRUE,5,"requested_troughs_found"
1.14875,0.01,10000,1,3,0.85379798464684,0.98293505938561,0.827509681700091,0.172490318299909,0.000147166263220216,0.000706019380302902,11.2721283601777,11,"success",TRUE,5,"requested_troughs_found"
1.14875,0.01,10000,1,4,0.862791846853529,0.978197300089102,0.784677243460216,0.215322756539784,3.16882454662362e-05,0.000115478017753979,11.2721283601777,11,"success",TRUE,5,"requested_troughs_found"
1.14875,0.01,10000,1,5,0.866930556341103,0.975811536430378,0.763880511597305,0.236119488402696,7.48221230786672e-06,2.42060331583695e-05,11.2721283601777,11,"success",TRUE,5,"requested_troughs_found"
1.2475,0.01,10000,1,1,0.661758023798693,0.99995464728268,0.999274603294928,0.000725396705071603,0.000725396705071603,0.999274603294928,15.9035505881503,16,"success",TRUE,5,"requested_troughs_found"
1.2475,0.01,10000,1,2,0.731436027283346,0.996556671972815,0.946306923788321,0.0536930762116792,3.89487805691106e-05,0.000686447924502493,15.9035505881503,16,"success",TRUE,5,"requested_troughs_found"
1.2475,0.01,10000,1,3,0.763158867681095,0.988016064038127,0.824563473678112,0.175436526321888,6.83303876751823e-06,3.21157418015924e-05,15.9035505881503,16,"success",TRUE,5,"requested_troughs_found"
1.2475,0.01,10000,1,4,0.780053742885343,0.980173195165394,0.725847101197703,0.274152898802297,1.8732973857436e-06,4.95974138177463e-06,15.9035505881503,16,"success",TRUE,5,"requested_troughs_found"
1.2475,0.01,10000,1,5,0.789438024225075,0.974823665685276,0.664992922813231,0.335007077186769,6.27567881899579e-07,1.24572950384402e-06,15.9035505881503,16,"success",TRUE,5,"requested_troughs_found"
1.34625,0.01,10000,1,1,0.56160077111756,0.999998487850249,0.99997126954574,2.87304542595102e-05,2.87304542595102e-05,0.99997126954574,19.1046176102158,19,"success",TRUE,5,"requested_troughs_found"
1.34625,0.01,10000,1,2,0.643837392248932,0.999016206539689,0.981472507504089,0.0185274924959107,5.32303275697181e-07,2.8198150983813e-05,19.1046176102158,19,"success",TRUE,5,"requested_troughs_found"
