"R0","r","K","I0","x_in","y_BL","I_in","q1","m_raw","m_used","P_burnout","status","boundary_entry_found","integration_converged","integration_absolute_error","integration_subdivisions","t_peak","I_peak","t_in"
1.05,0.01,10000,1,NA,0.000453514739229025,NA,NA,4.53514739229025,NA,NA,"no_epidemic_peak",FALSE,FALSE,NA,NA,NA,NA,NA
1.14875,0.01,10000,1,0.784130507766767,0.00112721283601777,11.2721283601777,0.999167546174539,11.2721283601777,11,0.990881026759549,"success",TRUE,TRUE,1.07358785742806e-05,9,40.3870156999105,95.5160034809984,68.3035353474928
1.2475,0.01,10000,1,0.661758023798697,0.00159035505881503,15.9035505881503,0.99995464728268,15.9035505881503,16,0.999274603294928,"success",TRUE,TRUE,0.000972469358090113,10,27.8650998948548,222.184641640153,47.4480004785788
1.34625,0.01,10000,1,0.56160077111754,0.00191046176102158,19.1046176102158,0.999998487850249,19.1046176102158,19,0.99997126954574,"success",TRUE,TRUE,0.00483441394082207,11,21.5527414248411,376.54096964965,37.2619624705355
1.445,0.01,10000,1,0.479387817368899,0.00213120053639205,21.3120053639205,0.999999964787106,21.3120053639205,21,0.999999260529481,"success",TRUE,TRUE,0.133394153225943,12,17.6887794293455,546.813489866437,31.1386917318961
1.54375,0.01,10000,1,0.411443169645239,0.00228163057909489,22.8163057909489,0.999999999389068,22.8163057909489,23,0.999999985948565,"success",TRUE,TRUE,33.164424854589,12,15.0582630005188,725.385570525114,27.0233274550741
1.6425,0.01,10000,1,0.35487524343768,0.00238156465090849,23.8156465090849,0.999999999991787,23.8156465090849,24,0.999999999802899,"success",TRUE,TRUE,8067.873377271,12,13.1421988319142,907.253898690804,24.0562001164676
1.74125,0.01,10000,1,0.307445387787805,0.00244479499332371,24.4479499332371,0.999999999999912,24.4479499332371,24,0.99999999999789,"success",TRUE,TRUE,702721.40252161,12,11.6794468231346,1089.10525048701,21.8110744624228
1.84,0.01,10000,1,0.267415954711135,0.00248109640831758,24.8109640831758,0.999999999999999,24.8109640831758,25,0.999999999999983,"success",TRUE,TRUE,18663188.7475024,13,10.523402049447,1268.82687630875,20.0508849979508
1.93875,0.01,10000,1,0.2334305350717,0.00249750478154939,24.9750478154939,1,24.9750478154939,25,1,"success",TRUE,TRUE,3945813882.37297,13,9.58512400528492,1445.02866472289,18.6334233540793
