"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,7.2,50,200,1,200,200,1,70062
"R0",1.5,1.5,10000,0.125,1e-04,7.3,50,200,1,200,200,1,72494
"R0",1.5,1.5,10000,0.125,1e-04,7.4,50,200,1,200,200,1,75196
"R0",1.5,1.5,10000,0.125,1e-04,7.5,50,200,1,200,200,1,77883
"R0",1.5,1.5,10000,0.125,1e-04,7.6,50,200,1,200,200,1,80659
"R0",1.5,1.5,10000,0.125,1e-04,7.7,50,200,1,200,200,1,83445
"R0",1.5,1.5,10000,0.125,1e-04,7.8,50,200,1,200,200,1,86587
"R0",1.5,1.5,10000,0.125,1e-04,7.9,50,200,1,200,200,1,89407
"R0",1.5,1.5,10000,0.125,1e-04,8,50,200,1,200,200,1,92162
"R0",1.5,1.5,10000,0.125,1e-04,8.1,50,200,1,200,200,1,95257
"R0",1.5,1.5,10000,0.125,1e-04,8.2,50,200,1,200,200,1,98395
"R0",1.5,1.5,10000,0.125,1e-04,8.3,50,200,1,200,200,1,101395
"R0",1.5,1.5,10000,0.125,1e-04,8.4,50,200,1,200,200,1,104500
"R0",1.5,1.5,10000,0.125,1e-04,8.5,50,200,1,200,200,1,107729
"R0",1.5,1.5,10000,0.125,1e-04,8.6,50,200,1,200,200,1,111014
"R0",1.5,1.5,10000,0.125,1e-04,8.7,50,200,1,200,200,1,114084
"R0",1.5,1.5,10000,0.125,1e-04,8.8,50,200,1,200,200,1,117217
"R0",1.5,1.5,10000,0.125,1e-04,8.9,50,200,1,200,200,1,120428
"R0",1.5,1.5,10000,0.125,1e-04,9,50,200,1,200,200,1,123344
"R0",1.5,1.5,10000,0.125,1e-04,9.1,50,200,1,200,200,1,126421
"R0",1.5,1.5,10000,0.125,1e-04,9.2,50,200,1,200,200,1,129486
"R0",1.5,1.5,10000,0.125,1e-04,9.3,50,200,1,200,200,1,132389
"R0",1.5,1.5,10000,0.125,1e-04,9.4,50,200,1,200,200,1,135161
"R0",1.5,1.5,10000,0.125,1e-04,9.5,50,200,1,200,200,1,137793
"R0",1.5,1.5,10000,0.125,1e-04,9.6,50,200,1,200,200,1,140959
"R0",1.5,1.5,10000,0.125,1e-04,9.7,50,200,1,200,200,1,143896
"R0",1.5,1.5,10000,0.125,1e-04,9.8,50,200,1,200,200,1,146759
"R0",1.5,1.5,10000,0.125,1e-04,9.9,50,200,1,200,200,1,149417
"R0",1.5,1.5,10000,0.125,1e-04,10,50,200,1,200,200,1,151804
"R0",1.5,1.5,10000,0.125,1e-04,10.1,50,200,1,200,200,1,154146
"R0",1.5,1.5,10000,0.125,1e-04,10.2,50,200,1,200,200,1,156323
"R0",1.5,1.5,10000,0.125,1e-04,10.3,50,200,1,200,200,1,158579
"R0",1.5,1.5,10000,0.125,1e-04,10.4,50,200,1,200,200,1,160363
"R0",1.5,1.5,10000,0.125,1e-04,10.5,50,200,1,200,200,1,162696
"R0",1.5,1.5,10000,0.125,1e-04,10.6,50,200,1,200,200,1,164594
"R0",1.5,1.5,10000,0.125,1e-04,10.7,50,200,1,200,200,1,166540
"R0",1.5,1.5,10000,0.125,1e-04,10.8,50,200,1,200,200,1,168237
"R0",1.5,1.5,10000,0.125,1e-04,10.9,50,200,1,200,200,1,169743
"R0",1.5,1.5,10000,0.125,1e-04,11,50,200,1,200,200,1,171110
"R0",1.5,1.5,10000,0.125,1e-04,11.1,50,200,1,200,200,1,172356
"R0",1.5,1.5,10000,0.125,1e-04,11.2,50,200,1,200,200,1,173572
"R0",1.5,1.5,10000,0.125,1e-04,11.3,50,200,1,200,200,1,174665
"R0",1.5,1.5,10000,0.125,1e-04,11.4,50,200,1,200,200,1,175111
"R0",1.5,1.5,10000,0.125,1e-04,11.5,50,200,1,200,200,1,175994
"R0",1.5,1.5,10000,0.125,1e-04,11.6,50,200,1,200,200,1,176510
"R0",1.5,1.5,10000,0.125,1e-04,11.7,50,200,1,200,200,1,177112
"R0",1.5,1.5,10000,0.125,1e-04,11.8,50,200,1,200,200,1,177497
"R0",1.5,1.5,10000,0.125,1e-04,11.9,50,200,1,200,200,1,177550
"R0",1.5,1.5,10000,0.125,1e-04,12,50,200,1,200,200,1,177510
"R0",1.5,1.5,10000,0.125,1e-04,12.1,50,200,1,200,200,1,177597
"R0",1.5,1.5,10000,0.125,1e-04,12.2,50,200,1,200,200,1,177254
"R0",1.5,1.5,10000,0.125,1e-04,12.3,50,200,1,200,200,1,177062
"R0",1.5,1.5,10000,0.125,1e-04,12.4,50,200,1,200,200,1,176538
"R0",1.5,1.5,10000,0.125,1e-04,12.5,50,200,1,200,200,1,176307
"R0",1.5,1.5,10000,0.125,1e-04,12.6,50,200,1,200,200,1,175735
"R0",1.5,1.5,10000,0.125,1e-04,12.7,50,200,1,200,200,1,175066
"R0",1.5,1.5,10000,0.125,1e-04,12.8,50,200,1,200,200,1,174102
"R0",1.5,1.5,10000,0.125,1e-04,12.9,50,200,1,200,200,1,173220
"R0",1.5,1.5,10000,0.125,1e-04,13,50,200,1,200,200,1,172016
"R0",1.5,1.5,10000,0.125,1e-04,13.1,50,200,1,200,200,1,170784
"R0",1.5,1.5,10000,0.125,1e-04,13.2,50,200,1,200,200,1,169202
