"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
2.5,10000,4,0.05,1,0.1,200,1000,1,0,10,182.57,18.157,1,1000,TRUE
2.5,10000,4,0.1,1,0.1,200,1000,1,0,10,199.929861849097,19.8929861849097,0.941,941,TRUE
2.5,10000,4,0.125,1,0.1,200,1000,1,0,10,207.067251461988,20.6067251461988,0.684,684,TRUE
2.5,10000,4,0.2,1,0.1,200,1000,1,0,10,191.071428571429,19.0071428571429,0.014,14,TRUE
2.5,10000,4,0.4,1,0.1,200,1000,1,0,10,NA,NA,0,0,FALSE
