"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
2.4,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,148.979,14.7979,1,1000,TRUE
2.5,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,143.334,14.2334,1,1000,TRUE
2.6,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,140.181,13.9181,1,1000,TRUE
2.7,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,135.409,13.4409,1,1000,TRUE
2.8,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,131.975,13.0975,1,1000,TRUE
2.9,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,130.376,12.9376,1,1000,TRUE
3,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,127.656,12.6656,1,1000,TRUE
3.1,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,124.831,12.3831,1,1000,TRUE
3.2,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,122.374,12.1374,1,1000,TRUE
3.3,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,119.908,11.8908,1,1000,TRUE
3.4,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,118.248,11.7248,1,1000,TRUE
3.5,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,115.156,11.4156,1,1000,TRUE
3.6,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,114.949,11.3949,1,1000,TRUE
3.7,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,113.507,11.2507,1,1000,TRUE
3.8,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,112.132,11.1132,1,1000,TRUE
3.9,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,109.986,10.8986,1,1000,TRUE
4,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,109.444,10.8444,1,1000,TRUE
4.1,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,107.622,10.6622,1,1000,TRUE
4.2,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,107.442,10.6442,1,1000,TRUE
4.3,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,106.057,10.5057,1,1000,TRUE
4.4,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,105.601,10.4601,1,1000,TRUE
4.5,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,104.847,10.3847,1,1000,TRUE
4.6,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,103.665,10.2665,1,1000,TRUE
4.7,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,103.441,10.2441,1,1000,TRUE
4.8,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,103.1,10.21,1,1000,TRUE
4.9,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,102.287,10.1287,1,1000,TRUE
5,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,101.544,10.0544,1,1000,TRUE
1.1,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,435.385385385385,43.4385385385385,0.999,999,TRUE
1.2,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,509.322906155399,50.8322906155399,0.991,991,TRUE
1.3,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,481.137931034483,48.0137931034483,0.986,986,TRUE
1.4,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,421.539325842697,42.0539325842697,0.979,979,TRUE
1.5,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,343.362068965517,34.2362068965517,0.986,986,TRUE
1.6,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,298.248496993988,29.7248496993988,0.998,998,TRUE
1.7,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,253.972972972973,25.2972972972973,0.999,999,TRUE
1.8,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,229.759519038076,22.8759519038076,0.998,998,TRUE
1.9,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,213.288288288288,21.2288288288288,0.999,999,TRUE
2,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,197.663,19.6663,1,1000,TRUE
2.1,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,186.242,18.5242,1,1000,TRUE
2.2,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,177.557,17.6557,1,1000,TRUE
2.3,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,170.723,16.9723,1,1000,TRUE
2.4,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,162.934,16.1934,1,1000,TRUE
2.5,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,157.051,15.6051,1,1000,TRUE
2.6,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,152.484,15.1484,1,1000,TRUE
2.7,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,148.416,14.7416,1,1000,TRUE
2.8,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,142.842,14.1842,1,1000,TRUE
2.9,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,139.748,13.8748,1,1000,TRUE
3,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,137.296,13.6296,1,1000,TRUE
3.1,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,134.523,13.3523,1,1000,TRUE
3.2,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,131.666,13.0666,1,1000,TRUE
3.3,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,128.833,12.7833,1,1000,TRUE
3.4,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,127.963,12.6963,1,1000,TRUE
3.5,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,125.676,12.4676,1,1000,TRUE
3.6,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,123.789,12.2789,1,1000,TRUE
3.7,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,122.182,12.1182,1,1000,TRUE
3.8,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,120.791,11.9791,1,1000,TRUE
3.9,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,119.628,11.8628,1,1000,TRUE
4,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,118.038,11.7038,1,1000,TRUE
4.1,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,116.695,11.5695,1,1000,TRUE
4.2,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,116.18,11.518,1,1000,TRUE
4.3,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,115.146,11.4146,1,1000,TRUE
4.4,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,114.196,11.3196,1,1000,TRUE
4.5,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,112.288,11.1288,1,1000,TRUE
4.6,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,111.679,11.0679,1,1000,TRUE
4.7,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,110.826,10.9826,1,1000,TRUE
4.8,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,111.076,11.0076,1,1000,TRUE
4.9,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,109.998,10.8998,1,1000,TRUE
5,3162.27766016838,3.5,0.05,1,0.1,200,1000,1,0,10,109.548,10.8548,1,1000,TRUE
1.1,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,595.983350676379,59.4983350676379,0.961,961,TRUE
1.2,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,651.783256880734,65.0783256880734,0.872,872,TRUE
1.3,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,572.480611045828,57.1480611045829,0.851,851,TRUE
1.4,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,501.180974477958,50.0180974477958,0.862,862,TRUE
1.5,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,400.763300760043,39.9763300760043,0.921,921,TRUE
1.6,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,328.941727367326,32.7941727367326,0.961,961,TRUE
1.7,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,284.947100712106,28.3947100712106,0.983,983,TRUE
1.8,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,255.717457114026,25.4717457114026,0.991,991,TRUE
1.9,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,235.473,23.4473,1,1000,TRUE
2,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,218.896793587174,21.7896793587174,0.998,998,TRUE
2.1,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,201.317317317317,20.0317317317317,0.999,999,TRUE
2.2,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,192.15,19.115,1,1000,TRUE
2.3,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,183.756,18.2756,1,1000,TRUE
2.4,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,176.87,17.587,1,1000,TRUE
2.5,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,169.203,16.8203,1,1000,TRUE
2.6,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,164.439,16.3439,1,1000,TRUE
2.7,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,160.709,15.9709,1,1000,TRUE
2.8,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,155.642,15.4642,1,1000,TRUE
2.9,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,150.889,14.9889,1,1000,TRUE
3,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,147.621,14.6621,1,1000,TRUE
3.1,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,144.465,14.3465,1,1000,TRUE
3.2,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,142.122,14.1122,1,1000,TRUE
3.3,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,139.663,13.8663,1,1000,TRUE
3.4,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,136.546,13.5546,1,1000,TRUE
3.5,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,134.271,13.3271,1,1000,TRUE
3.6,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,132.964,13.1964,1,1000,TRUE
3.7,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,131.223,13.0223,1,1000,TRUE
3.8,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,129.57,12.857,1,1000,TRUE
3.9,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,128.588,12.7588,1,1000,TRUE
4,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,127.039,12.6039,1,1000,TRUE
4.1,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,125.913,12.4913,1,1000,TRUE
4.2,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,124.404,12.3404,1,1000,TRUE
4.3,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,122.707,12.1707,1,1000,TRUE
4.4,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,121.716,12.0716,1,1000,TRUE
4.5,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,120.441,11.9441,1,1000,TRUE
4.6,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,120.135,11.9135,1,1000,TRUE
4.7,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,119.641,11.8641,1,1000,TRUE
4.8,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,118.239,11.7239,1,1000,TRUE
4.9,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,117.541,11.6541,1,1000,TRUE
5,5623.41325190349,3.75,0.05,1,0.1,200,1000,1,0,10,116.608,11.5608,1,1000,TRUE
1.1,10000,4,0.05,1,0.1,200,1000,1,0,10,687.327127659574,68.6327127659575,0.752,752,TRUE
1.2,10000,4,0.05,1,0.1,200,1000,1,0,10,673.106870229008,67.2106870229008,0.524,524,TRUE
1.3,10000,4,0.05,1,0.1,200,1000,1,0,10,550.285714285714,54.9285714285714,0.511,511,TRUE
1.4,10000,4,0.05,1,0.1,200,1000,1,0,10,457.990322580645,45.6990322580645,0.62,620,TRUE
1.5,10000,4,0.05,1,0.1,200,1000,1,0,10,397.294267515924,39.6294267515924,0.785,785,TRUE
1.6,10000,4,0.05,1,0.1,200,1000,1,0,10,356.668564920273,35.5668564920273,0.878,878,TRUE
1.7,10000,4,0.05,1,0.1,200,1000,1,0,10,314.422222222222,31.3422222222222,0.945,945,TRUE
1.8,10000,4,0.05,1,0.1,200,1000,1,0,10,278.58932238193,27.758932238193,0.974,974,TRUE
1.9,10000,4,0.05,1,0.1,200,1000,1,0,10,253.543172690763,25.2543172690763,0.996,996,TRUE
2,10000,4,0.05,1,0.1,200,1000,1,0,10,239.520080321285,23.8520080321285,0.996,996,TRUE
2.1,10000,4,0.05,1,0.1,200,1000,1,0,10,222.147147147147,22.1147147147147,0.999,999,TRUE
2.2,10000,4,0.05,1,0.1,200,1000,1,0,10,208.814,20.7814,1,1000,TRUE
2.3,10000,4,0.05,1,0.1,200,1000,1,0,10,198.772,19.7772,1,1000,TRUE
2.4,10000,4,0.05,1,0.1,200,1000,1,0,10,190.846,18.9846,1,1000,TRUE
2.5,10000,4,0.05,1,0.1,200,1000,1,0,10,182.57,18.157,1,1000,TRUE
2.6,10000,4,0.05,1,0.1,200,1000,1,0,10,176.896,17.5896,1,1000,TRUE
2.7,10000,4,0.05,1,0.1,200,1000,1,0,10,171.443,17.0443,1,1000,TRUE
2.8,10000,4,0.05,1,0.1,200,1000,1,0,10,167.336,16.6336,1,1000,TRUE
2.9,10000,4,0.05,1,0.1,200,1000,1,0,10,162.855,16.1855,1,1000,TRUE
3,10000,4,0.05,1,0.1,200,1000,1,0,10,159.575,15.8575,1,1000,TRUE
3.1,10000,4,0.05,1,0.1,200,1000,1,0,10,155.559,15.4559,1,1000,TRUE
3.2,10000,4,0.05,1,0.1,200,1000,1,0,10,152.403,15.1403,1,1000,TRUE
3.3,10000,4,0.05,1,0.1,200,1000,1,0,10,148.695,14.7695,1,1000,TRUE
3.4,10000,4,0.05,1,0.1,200,1000,1,0,10,146.513,14.5513,1,1000,TRUE
3.5,10000,4,0.05,1,0.1,200,1000,1,0,10,144.368,14.3368,1,1000,TRUE
3.6,10000,4,0.05,1,0.1,200,1000,1,0,10,141.322,14.0322,1,1000,TRUE
3.7,10000,4,0.05,1,0.1,200,1000,1,0,10,140.113,13.9113,1,1000,TRUE
3.8,10000,4,0.05,1,0.1,200,1000,1,0,10,138.609,13.7609,1,1000,TRUE
3.9,10000,4,0.05,1,0.1,200,1000,1,0,10,136.629,13.5629,1,1000,TRUE
4,10000,4,0.05,1,0.1,200,1000,1,0,10,135.447,13.4447,1,1000,TRUE
4.1,10000,4,0.05,1,0.1,200,1000,1,0,10,133.3,13.23,1,1000,TRUE
4.2,10000,4,0.05,1,0.1,200,1000,1,0,10,132.481,13.1481,1,1000,TRUE
4.3,10000,4,0.05,1,0.1,200,1000,1,0,10,131.202,13.0202,1,1000,TRUE
4.4,10000,4,0.05,1,0.1,200,1000,1,0,10,130.704,12.9704,1,1000,TRUE
4.5,10000,4,0.05,1,0.1,200,1000,1,0,10,129.056,12.8056,1,1000,TRUE
4.6,10000,4,0.05,1,0.1,200,1000,1,0,10,127.331,12.6331,1,1000,TRUE
4.7,10000,4,0.05,1,0.1,200,1000,1,0,10,126.559,12.5559,1,1000,TRUE
4.8,10000,4,0.05,1,0.1,200,1000,1,0,10,126.273,12.5273,1,1000,TRUE
4.9,10000,4,0.05,1,0.1,200,1000,1,0,10,125.009,12.4009,1,1000,TRUE
5,10000,4,0.05,1,0.1,200,1000,1,0,10,124.682,12.3682,1,1000,TRUE
1.1,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,488.143939393939,48.7143939393939,0.396,396,TRUE
1.2,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,414.021834061135,41.3021834061135,0.229,229,TRUE
1.3,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,482.234126984127,48.1234126984127,0.252,252,TRUE
