"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
9.2,0,200,0,0,200,0,6534,0,945.46,0,0,0,0
9.3,0,200,0,0,200,0,6066,0,952.725,0,0,0,0
9.4,0,200,0,0,200,0,5617,0,960.06,0,0,0,0
9.5,0,200,0,0,200,0,5248,0,968.15,0,0,0,0
9.6,0,200,0,0,200,0,4869,0,976,0,0,0,0
9.7,0,200,0,0,200,0,4582,0,984.5,0,0,0,0
9.8,0,200,0,0,200,0,4286,0,992.895,0,0,0,0
9.9,0,200,0,0,200,0,4016,0,1001.66,0,0,0,0
10,0,200,0,0,200,0,3759,0,1010.42,0,0,0,0
10.1,0,200,0,0,200,0,3508,0,1019.69,0,0,0,0
10.2,0,200,0,0,200,0,3281,0,1028.895,0,0,0,0
10.3,0,200,0,0,200,0,3098,0,1038.925,0,0,0,0
10.4,0,200,0,0,200,0,2919,0,1049.135,0,0,0,0
10.5,0,200,0,0,200,0,2762,0,1059.67,0,0,0,0
10.6,0,200,0,0,200,0,2558,0,1069.885,0,0,0,0
10.7,0,200,0,0,200,0,2369,0,1080.76,0,0,0,0
10.8,0,200,0,0,200,0,2225,0,1091.645,0,0,0,0
10.9,0,200,0,0,200,0,2060,0,1102.895,0,0,0,0
11,0,200,0,0,200,0,1923,0,1114.225,0,0,0,0
11.1,0,200,0,0,200,0,1818,0,1125.355,0,0,0,0
11.2,0,200,0,0,200,0,1711,0,1136.915,0,0,0,0
11.3,2,198,0,0,198,0,1617,0,1148.345,2,0,0,0
11.4,4,196,0,0,196,0,1496,0,1159.71,2,0,0,0
11.5,4,196,0,0,196,0,1400,0,1171.975,0,0,0,0
11.6,4,196,0,0,196,0,1304,0,1183.485,0,0,0,0
11.7,4,196,0,0,196,0,1231,0,1195.88,0,0,0,0
11.8,4,196,0,0,196,0,1142,0,1207.95,0,0,0,0
11.9,4,196,0,0,196,0,1065,0,1220.835,0,0,0,0
12,5,195,0,0,195,0,1011,0,1233.725,1,0,0,0
12.1,8,192,0,0,192,0,946,0,1246.925,3,0,0,0
12.2,10,190,0,0,190,0,894,0,1260.18,2,0,0,0
12.3,12,188,0,0,188,0,865,0,1273.495,2,0,0,0
12.4,17,183,0,0,183,0,823,0,1286.53,5,0,0,0
12.5,18,182,0,0,182,0,791,0,1300.025,1,0,0,0
12.6,20,180,0,0,180,0,735,0,1313.775,2,0,0,0
12.7,23,177,0,0,177,0,698,0,1327.425,3,0,0,0
12.8,26,174,0,0,174,0,668,0,1341.255,3,0,0,0
12.9,29,171,0,0,171,0,626,0,1355.295,3,0,0,0
13,29,171,0,0,171,0,597,0,1369.555,0,0,0,0
13.1,30,170,0,0,170,0,576,0,1384.395,1,0,0,0
13.2,33,167,0,0,167,0,540,0,1399.105,3,0,0,0
13.3,39,161,0,0,161,0,514,0,1413.785,6,0,0,0
