"term","estimate","std_error","conf_low","conf_high","t_value","p_value","r_squared","adjusted_r_squared","residual_standard_error","n_grid_cells","T_osc_max_exclusive","implied_c_from_intercept","median_within_column_fold_spread","p95_within_column_fold_spread","maximum_within_column_fold_spread"
"(Intercept)",0.692421710851432,0.0670121077170818,0.561012101167648,0.823831320535216,10.3327851404819,1.67918178466544e-24,0.0087184757506321,0.00829285036452243,0.494766170227377,2331,50,4.92517550475287,2.38877613727501,129.082870813397,460.363636363636
"log10_T_osc",0.253832905623629,0.0560843125370245,0.143852517437822,0.363813293809436,4.52591632385722,6.31593373006806e-06,0.0087184757506321,0.00829285036452243,0.494766170227377,2331,50,4.92517550475287,2.38877613727501,129.082870813397,460.363636363636
