"R0","K","log10K","r","gamma","dt","nsim","t_max","n_patch","alpha","I_init","ext_prob","n_ext","mean_ext_time_index","mean_T_ext","omega_sq","T_osc","omega_logistic_sq","T_osc_logistic","ratio","log10_T_osc","log10_mean_T_ext","log10_ratio","oscillatory","logistic_oscillatory","positive_extinction_time","within_Tosc_window","finite_valid"
3.1,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,114.222,11.3222,0.09899375,19.9699041453962,0.0338059313215401,34.1730243422842,0.566963162044531,1.30037598028255,1.05393082217278,-0.246445158109772,TRUE,TRUE,TRUE,TRUE,TRUE
3.2,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,112.676,11.1676,0.1036,19.5209069203218,0.03431396484375,33.9191075822737,0.572084076092501,1.29049999065351,1.04795985004056,-0.242540140612945,TRUE,TRUE,TRUE,TRUE,TRUE
3.3,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,109.263,10.8263,0.10819375,19.101997394801,0.0347910927456382,33.6857199326501,0.566762719952345,1.2810787814983,1.03448005735133,-0.246598724146972,TRUE,TRUE,TRUE,TRUE,TRUE
3.4,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,108.127,10.7127,0.112775,18.7099854804317,0.0352400519031142,33.4704536460971,0.572565917338854,1.27207345047324,1.02989894303726,-0.242174507435982,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,107.238,10.6238,0.11734375,18.3421350538246,0.0356632653061225,33.2712652113366,0.579201928719024,1.26344988684797,1.02627988622255,-0.237170000625422,TRUE,TRUE,TRUE,TRUE,TRUE
3.6,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,105.502,10.4502,0.1219,17.9960841616918,0.0360628858024691,33.0864086982992,0.580692994437383,1.25517801554892,1.01912460222365,-0.236053413325277,TRUE,TRUE,TRUE,TRUE,TRUE
3.7,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,104.335,10.3335,0.12644375,17.669781722902,0.0364408327246165,32.9143832756554,0.584811977988764,1.24723118464402,1.01424744380783,-0.232983740836189,TRUE,TRUE,TRUE,TRUE,TRUE
3.8,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,103.263,10.2263,0.130975,17.3614368428644,0.0367988227146814,32.7538914948772,0.58902382864717,1.23958566479812,1.00971852909397,-0.229867135704155,TRUE,TRUE,TRUE,TRUE,TRUE
3.9,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,101.376,10.0376,0.13549375,17.0694778741834,0.0371383957922419,32.6038058417393,0.588043762907435,1.23222023700056,1.00162988498481,-0.23059035201575,TRUE,TRUE,TRUE,TRUE,TRUE
4,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,101.514,10.0514,0.14,16.7925190836271,0.0374609375,32.4631416994809,0.598564155261268,1.225115850519,1.00222655627685,-0.222889294242142,TRUE,TRUE,TRUE,TRUE,TRUE
4.1,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,99.975,9.8975,0.14449375,16.5293333098892,0.0377676977989292,32.3310353302746,0.598783980844435,1.21825533719666,0.995525510424242,-0.222729826772415,TRUE,TRUE,TRUE,TRUE,TRUE
4.2,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,99.881,9.8881,0.148975,16.2788293800036,0.0380598072562358,32.2067258180896,0.607420826717812,1.2116231713097,0.995112849859282,-0.216510321450421,TRUE,TRUE,TRUE,TRUE,TRUE
4.3,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,99.25,9.825,0.15344375,16.0400333357041,0.0383382909680909,32.0895401635769,0.612529899057638,1.20520526653526,0.992332559047464,-0.212872707487795,TRUE,TRUE,TRUE,TRUE,TRUE
4.4,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,97.358,9.6358,0.1579,15.8120727327611,0.0386040805785124,31.9788809056498,0.609395122502539,1.19898880335397,0.98388777723355,-0.215101026120418,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,96.985,9.5985,0.16234375,15.5941634360534,0.038858024691358,31.8742157826087,0.615518750932703,1.19296208157147,0.982203369224772,-0.210758712346697,TRUE,TRUE,TRUE,TRUE,TRUE
4.6,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,96.595,9.5595,0.166775,15.3855984547325,0.0391008979206049,31.7750690503403,0.621327797428611,1.1871143936958,0.980435177535547,-0.206679216160258,TRUE,TRUE,TRUE,TRUE,TRUE
4.7,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,95.654,9.4654,0.17119375,15.185738455193,0.0393334087822544,31.6810141551214,0.623308509357552,1.18143591572861,0.976138971614356,-0.205296944114253,TRUE,TRUE,TRUE,TRUE,TRUE
4.8,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,94.744,9.3744,0.1756,14.9940036618207,0.0395562065972222,31.5916675201684,0.625209931345428,1.17591761257307,0.971943480663442,-0.203974131909631,TRUE,TRUE,TRUE,TRUE,TRUE
4.9,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,93.904,9.2904,0.17999375,14.8098669118382,0.0397698875468555,31.5066832529031,0.62731151166347,1.17055115577212,0.968034413030561,-0.202516742741559,TRUE,TRUE,TRUE,TRUE,TRUE
5,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,93.672,9.2672,0.184375,14.6328476748199,0.039975,31.4257486172809,0.633314868434458,1.165328851697,0.966948535845015,-0.198380315851981,TRUE,TRUE,TRUE,TRUE,TRUE
1.1,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,300.114,29.9114,0.00424375,96.4506086386733,0.00402892561983471,98.9886140059811,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.2,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,353.761,35.2761,0.00910000000000001,65.8656788383031,0.00789930555555556,70.6944649279752,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.3,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,0.999,999,358.740740740741,35.7740740740741,0.01394375,53.2096098493633,0.0111686390532544,59.4538167925163,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.4,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,314.365,31.3365,0.018775,45.8553376345614,0.0139668367346939,53.1656147690702,0.683377369276669,1.66138989552001,1.49605048812586,-0.165339407394149,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,284.876,28.3876,0.02359375,40.9054694984262,0.0163888888888889,49.0800631579454,0.693980544608887,1.61178138170347,1.45312867710438,-0.158652704599092,TRUE,TRUE,TRUE,TRUE,TRUE
1.6,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,247.837,24.6837,0.0284,37.2838453879692,0.018505859375,46.1875833563393,0.662048126826665,1.5715206983346,1.3924102594594,-0.179110438875196,TRUE,TRUE,TRUE,TRUE,TRUE
1.7,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,224.55,22.355,0.03319375,34.4867055469176,0.0203719723183391,44.0213472393328,0.648220804088899,1.53765170897651,1.34937467420405,-0.188277034772458,TRUE,TRUE,TRUE,TRUE,TRUE
1.8,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,206.241,20.5241,0.037975,32.2426684224624,0.0220293209876543,42.3330259531304,0.63655091232156,1.5084309770907,1.31226412201055,-0.196166855080149,TRUE,TRUE,TRUE,TRUE,TRUE
1.9,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,189.034,18.8034,0.04274375,30.3908997408616,0.02351108033241,40.9773223035874,0.618718108392105,1.48274355781956,1.27423638478135,-0.208507173038217,TRUE,TRUE,TRUE,TRUE,TRUE
2,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,179.804,17.8804,0.0475,28.8292313658267,0.02484375,39.8631205697577,0.620217714898736,1.45983306354568,1.25237723011144,-0.207455833434237,TRUE,TRUE,TRUE,TRUE,TRUE
2.1,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,169.235,16.8235,0.05224375,27.4892377263552,0.0260487528344671,38.9301790266153,0.612003147103294,1.43916269707055,1.22591635249402,-0.21324634457653,TRUE,TRUE,TRUE,TRUE,TRUE
2.2,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,161.403,16.0403,0.056975,26.3231404759581,0.0271435950413223,38.1369699543435,0.609361182213429,1.42033770143191,1.20521248658693,-0.215125214844975,TRUE,TRUE,TRUE,TRUE,TRUE
2.3,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,155.598,15.4598,0.06169375,25.2964328395438,0.0281427221172023,37.4538802095453,0.611145456676128,1.40305928373208,1.18920387124736,-0.213855412484714,TRUE,TRUE,TRUE,TRUE,TRUE
2.4,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,148.979,14.7979,0.0664,24.3834878963887,0.0290581597222222,36.8591923696449,0.606882004038136,1.38709582867411,1.17020008815698,-0.21689574051713,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,143.334,14.2334,0.07109375,23.5648216426584,0.0299,36.3365988345284,0.60401051261232,1.3722641570215,1.15330865446679,-0.218955502554713,TRUE,TRUE,TRUE,TRUE,TRUE
2.6,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,140.181,13.9181,0.075775,22.8253211031591,0.030676775147929,35.8736045826545,0.609765791994649,1.35841689583828,1.14357995252774,-0.214836943310545,TRUE,TRUE,TRUE,TRUE,TRUE
2.7,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,135.409,13.4409,0.08044375,22.1530595294466,0.0313957475994513,35.4604672512468,0.606728835000597,1.34543371453185,1.12842834996389,-0.217005364567962,TRUE,TRUE,TRUE,TRUE,TRUE
2.8,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,131.975,13.0975,0.0851,21.5384818363827,0.032063137755102,35.0894739851937,0.608097641212381,1.33321508831582,1.11718840711998,-0.216026681195837,TRUE,TRUE,TRUE,TRUE,TRUE
2.9,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,130.376,12.9376,0.08974375,20.9738308864373,0.0326843043995244,34.7544359970627,0.616844870641447,1.32167776193364,1.11185371965358,-0.209824042280062,TRUE,TRUE,TRUE,TRUE,TRUE
3,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,127.656,12.6656,0.094375,20.4527347492131,0.0332638888888889,34.4503277253137,0.619261930265209,1.31075138603949,1.10262576819028,-0.208125617849209,TRUE,TRUE,TRUE,TRUE,TRUE
3.1,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,124.831,12.3831,0.09899375,19.9699041453962,0.0338059313215401,34.1730243422842,0.620088104071085,1.30037598028255,1.09282938009291,-0.207546600189642,TRUE,TRUE,TRUE,TRUE,TRUE
3.2,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,122.374,12.1374,0.1036,19.5209069203218,0.03431396484375,33.9191075822737,0.621764144951925,1.29049999065351,1.08412566477995,-0.206374325873562,TRUE,TRUE,TRUE,TRUE,TRUE
3.3,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,119.908,11.8908,0.10819375,19.101997394801,0.0347910927456382,33.6857199326501,0.622489876542248,1.2810787814983,1.0752110744587,-0.205867707039599,TRUE,TRUE,TRUE,TRUE,TRUE
